age,educ,income
49,2,2500
65,2,880
76,1,950
63,2,1050
71,3,460
66,4,2000
48,4,4000
88,4,3000
31,2,2500
69,4,2650
58,1,1100
25,2,1500
83,1,1050
82,4,1600
47,2,1000
62,2,688
66,2,1400
38,3,2875
33,4,2000
33,2,2060
57,2,1600
26,4,1600
62,2,1625
38,1,450
57,2,1900
36,1,1600
60,4,4300
48,2,1200
56,2,640
28,2,2000
72,1,820
53,2,1800
76,1,1800
58,2,3500
66,1,3000
29,1,1600
72,3,1500
65,4,1500
28,4,700
48,2,1200
35,4,1900
73,2,850
81,1,1221
37,3,4200
76,4,1063
41,2,625
74,1,1800
44,4,1063
48,1,700
82,1,1100
73,1,291
75,1,1200
53,2,1200
30,4,2080
31,4,1600
65,2,2625
48,2,3000
54,2,2875
34,4,1500
53,1,1000
53,3,1200
83,1,1400
82,2,1600
78,1,1500
59,2,2200
39,4,1200
32,1,700
32,4,3200
53,1,1500
65,1,1800
29,2,1100
59,2,1300
61,1,830
56,1,2500
81,1,1313
56,2,730
20,4,400
26,4,450
56,4,2500
84,2,1397
59,4,2500
26,3,400
38,2,3500
46,4,4000
33,4,6250
74,1,1200
79,4,1600
57,1,1200
65,2,1100
79,1,980
44,2,4500
21,4,550
49,4,4000
42,3,4800
43,1,900
20,2,380
54,2,1100
67,1,1200
19,2,600
46,2,1800
22,4,600
47,2,1000
30,4,1313
20,4,450
75,2,2300
42,4,2875
49,4,1700
75,4,1300
68,4,3000
28,4,2800
77,1,440
52,4,1313
35,3,1500
65,2,1300
78,1,1950
21,4,800
44,1,450
22,4,1200
34,2,1063
46,2,800
78,1,3000
48,4,1500
43,2,2400
30,2,2600
54,4,1000
49,4,1313
61,2,500
49,3,2096
61,4,1200
32,4,2375
38,3,2500
77,2,1800
53,2,2625
49,2,1300
50,1,2500
77,1,700
51,1,720
43,2,1188
63,3,2500
80,4,2000
45,2,688
25,3,300
61,2,1063
70,2,615
26,4,1620
28,4,450
59,2,1650
50,2,1100
59,4,4100
86,2,550
25,2,1300
78,1,890
58,2,3000
54,2,1100
60,2,2600
49,2,2000
76,4,6250
52,4,7500
42,4,400
37,4,563
19,4,700
52,1,4200
90,2,1100
24,2,1100
48,3,3500
22,4,750
49,1,1000
44,2,1250
60,4,5500
58,2,3400
26,4,2000
29,2,1500
82,2,1800
76,2,800
35,1,938
62,2,900
75,2,78
43,4,4000
36,2,1800
64,1,938
44,1,970
65,1,901
68,1,1200
76,2,820
47,4,2200
56,1,1300
70,1,1200
66,4,2500
44,4,3600
61,1,2500
30,3,1600
80,4,920
37,2,1100
56,3,1500
32,1,500
45,4,1200
26,4,600
20,4,300
57,2,1800
81,1,1300
60,1,2500
58,2,700
69,2,3500
78,2,1200
70,1,800
88,2,2500
84,0,2000
55,2,1188
55,1,2600
41,2,1500
25,4,1600
34,2,1900
33,4,3000
62,2,1300
34,4,1800
28,4,600
78,1,3000
59,4,3750
45,4,2000
71,2,1400
22,3,700
65,1,3500
45,2,2000
50,2,1200
48,1,3100
73,2,1625
51,2,813
43,2,1400
31,3,1600
31,4,2400
41,3,1313
55,3,1700
37,1,983
52,4,3800
35,4,1734
71,4,1050
55,1,720
42,1,700
66,1,1800
41,2,1188
36,4,3500
54,4,1200
64,2,3500
65,2,1010
59,2,1100
36,2,1400
69,1,1000
35,2,1100
33,4,3500
55,4,2000
77,3,3300
52,2,1200
24,3,300
72,2,900
26,2,1550
52,2,5000
58,4,3400
38,3,4500
40,2,300
56,4,4000
40,2,2500
52,1,360
65,2,900
69,1,1600
48,2,2500
63,2,650
37,2,2600
59,4,3000
18,4,550
75,4,300
23,4,400
52,4,3500
38,4,1200
43,2,590
51,3,875
82,4,700
25,4,1000
68,2,350
70,4,3200
64,2,1100
77,1,200
33,4,2300
42,2,1300
51,2,3900
20,4,1200
55,4,2300
52,1,1900
73,1,2400
54,1,563
50,4,900
51,2,1700
19,3,700
62,2,2050
59,2,1600
31,2,2400
58,2,700
62,2,2875
53,2,800
74,4,1400
83,3,1200
83,1,520
42,2,4000
36,2,650
81,2,1100
69,2,1400
46,2,950
35,2,665
43,4,3500
35,3,2100
69,2,1200
24,3,600
57,2,1000
66,4,1300
44,3,1500
50,4,2300
75,2,950
36,4,1400
69,1,1100
72,1,2000
86,1,1400
46,4,4000
50,1,1100
34,2,1800
33,3,1200
57,2,1400
60,2,900
60,4,2000
19,2,950
40,4,2200
66,2,1000
60,2,400
56,3,2070
64,4,2500
61,4,2300
47,1,1500
78,4,1430
36,4,1388
56,4,2050
35,2,2500
28,2,1000
82,1,1063
62,2,1500
42,2,6500
52,2,1438
57,2,688
37,4,1500
45,2,1500
45,1,800
63,2,2875
59,3,800
55,2,2400
36,4,3100
87,2,1500
43,4,1700
48,4,2500
63,2,1500
39,4,1200
83,2,2500
32,3,8750
60,4,2125
45,2,2875
25,2,2100
30,2,2200
78,1,4500
67,4,2000
91,1,1200
37,2,970
57,2,460
29,4,2400
27,4,813
21,4,600
58,4,3200
31,2,900
54,2,1400
29,4,1800
54,2,1200
47,3,2700
32,1,1063
46,2,1375
71,2,2300
39,4,1200
59,1,1150
43,2,1600
61,1,370
57,4,6000
67,2,1650
34,4,3200
68,1,2125
97,4,1100
46,1,1800
57,2,2000
31,4,2400
52,2,500
53,1,1800
53,1,1400
73,1,820
47,1,1235
69,2,1250
32,4,500
46,2,938
33,4,2300
39,4,1000
69,3,3500
27,0,750
23,4,1500
23,2,2211
66,1,1800
53,3,900
64,4,1400
48,1,1800
73,2,1500
31,2,1100
44,2,2300
78,4,3300
52,4,2250
80,1,200
26,4,1300
53,3,1875
31,2,1200
84,3,1100
51,2,896
24,4,2100
50,2,800
68,4,4500
51,0,400
64,1,1009
48,2,2400
63,2,800
64,2,1500
66,2,1000
82,1,1063
50,2,6250
67,2,688
29,2,1500
52,4,7300
67,2,1100
32,2,2300
57,4,950
79,1,630
32,4,1750
48,2,3000
78,1,500
40,4,450
25,4,2100
51,4,3500
29,2,2600
19,4,470
46,2,1450
29,4,1300
67,2,1500
44,1,1100
69,2,524
26,2,1500
63,2,2400
27,4,450
51,2,1500
62,4,3500
83,4,800
47,2,758
32,4,1200
58,3,860
72,2,1400
40,2,192
49,4,2000
53,2,500
32,3,1900
36,1,2100
46,1,450
44,1,1800
77,1,1200
79,1,1800
64,2,1100
50,1,650
73,4,2500
49,2,1300
67,2,1300
30,3,1625
64,1,500
72,2,1830
43,4,3600
77,1,1050
57,2,1313
48,1,2650
75,4,3000
35,1,650
22,4,450
79,1,1600
77,4,1438
74,1,1100
54,2,1400
78,1,1600
53,1,2400
55,2,1800
35,0,1300
29,2,1100
72,4,1500
74,1,1800
53,2,1200
75,2,1200
47,4,3500
